0,But Countess
0,Dr. Monnitoff?
0,Flight got you nervous?
0,'Good.'
0,I think there are sixteen there
0,I wanted to apologize for this morning
0,Jesus I have heard about him
0,No I don't think that at all.  How is he?
0,No. Don't do this
0,Okay.  You know he doesn't have that kind of money
0,Shoulda brought my gun
0,That's great!  See you're getting it
0,They've come for my car
0,Ugh!
0,Used you?
0,What is it now?
0,What's she singing about?
0,Yes there are aren't there
0,You get to come alive again in the country!
0,You okay honey?
